objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"51st State: Master Set","192458","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46811071","7.0917","7.67422","2.938","286","6224","thing","51st State: Master Set","1","4","90","90","60","2016","1,2,3,4","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders","68448","7","2","0","0","0","0","0","0","0","0","0","3","","","","","","21734819","7.67469","7.76993","2.3376","48","97272","thing","7 Wonders","2","7","30","30","30","2010","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"7 Wonders Duel","173346","7","","0","1","0","0","0","0","0","0","0","3","","","","","","36073276","7.98116","8.11032","2.2204","17","71055","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"The 7th Continent","180263","0","","0","1","0","0","0","0","0","0","0","1","","","","","","46810711","7.98598","8.37931","2.8583","16","24342","thing","The 7th Continent","1","4","1000","1000","5","2017","1,2,3","1,2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"878 Vikings: Invasions of England","204516","8","","0","1","0","0","0","0","0","0","0","1","","","","","","53068336","6.67169","7.56244","2.6","716","4074","thing","878 Vikings: Invasions of England","2","4","120","120","60","2017","2,3,4","2,4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Above and Below","172818","7","","0","1","0","0","0","0","0","0","0","3","","","","","","30825017","7.22752","7.47755","2.53","208","16795","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Abyss","155987","7","","0","1","0","0","0","0","0","0","0","3","","","","","","25166844","7.0168","7.30027","2.3433","349","10195","thing","Abyss","2","4","60","60","30","2014","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Acquire","5","0","","0","0","0","0","0","0","0","0","1","4","","","","","","28836312","7.17385","7.34746","2.5061","239","21959","thing","Acquire","2","6","90","90","90","1964","3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Aeon's End","191189","8","","0","1","0","0","0","0","0","0","0","3","","","","","","46956556","7.55086","8.04693","2.7904","75","10539","thing","Aeon's End","1","4","60","60","60","2016","1,2,3,4","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Age of Empires III: The Age of Discovery","22545","0","","0","0","0","0","0","0","0","0","1","3","","","","","","21735001","7.27584","7.55503","3.1277","182","8065","thing","Age of Empires III: The Age of Discovery","2","5","120","120","90","2007","3,4,5","4,5","12+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
