CMDLINE pytest
MEM 0.277344 1578692341.0752
MEM 11.117188 1578692341.1765
MEM 16.273438 1578692341.2773
MEM 17.171875 1578692341.3778
MEM 21.003906 1578692341.4797
MEM 29.621094 1578692341.5800
MEM 37.097656 1578692341.6824
MEM 45.281250 1578692341.7877
MEM 48.406250 1578692341.8929
MEM 50.675781 1578692341.9950
MEM 53.675781 1578692342.0963
MEM 61.398438 1578692342.1974
MEM 69.113281 1578692342.3021
MEM 72.054688 1578692342.4073
MEM 72.769531 1578692342.5078
MEM 80.328125 1578692342.6111
MEM 104.488281 1578692342.7133
MEM 119.812500 1578692342.8136
MEM 144.148438 1578692342.9172
MEM 172.558594 1578692343.0224
MEM 187.945312 1578692343.1257
MEM 200.386719 1578692343.2301
MEM 207.027344 1578692343.3354
MEM 211.175781 1578692343.4369
MEM 211.859375 1578692343.5411
MEM 214.527344 1578692343.6463
MEM 218.742188 1578692343.7509
MEM 222.156250 1578692343.8511
MEM 223.183594 1578692343.9564
MEM 224.765625 1578692344.0616
MEM 227.273438 1578692344.1668
MEM 226.878906 1578692344.2723
MEM 227.046875 1578692344.3775
MEM 227.050781 1578692344.4780
MEM 227.050781 1578692344.5790
MEM 226.550781 1578692344.6812
MEM 226.136719 1578692344.7862
MEM 226.320312 1578692344.8914
MEM 226.941406 1578692344.9917
MEM 227.039062 1578692345.0919
MEM 227.433594 1578692345.1972
MEM 227.664062 1578692345.2988
MEM 228.011719 1578692345.4028
MEM 228.335938 1578692345.5064
MEM 228.949219 1578692345.6115
MEM 231.917969 1578692345.7165
MEM 232.406250 1578692345.8217
MEM 225.882812 1578692345.9238
MEM 225.632812 1578692346.0257
MEM 225.632812 1578692346.1287
MEM 220.347656 1578692346.2308
MEM 220.347656 1578692346.3332
MEM 213.824219 1578692346.4349
MEM 211.199219 1578692346.5402
MEM 142.152344 1578692346.6412
